id, x, y, freq, label
162, -61.047672, 31.958200, 176, woman
163, -68.308922, 37.520565, 192, never
164, -71.469643, 39.022514, 196, simply
165, -46.772511, 19.746412, 186, district
166, -45.568230, 18.826340, 186, press
167, -51.146347, 19.845123, 174, second
168, -45.505268, 34.856537, 190, apr
169, -72.201431, 32.190331, 180, night
170, -70.072105, 38.202030, 192, might
171, -55.353882, 38.349998, 192, counseling
172, -49.693241, 33.444290, 176, mayor
173, -56.987133, 37.374199, 188, support
174, -65.001045, 31.627884, 164, although
175, -49.700691, 21.657354, 148, rhinehart
176, -68.823105, 35.506767, 190, needed
177, -60.683105, 36.766113, 166, known
178, -64.687569, 43.754742, 182, vote
179, -46.967548, 19.998894, 8, u
180, -79.110069, 28.166937, 50, twenty
181, -46.311375, 34.081856, 188, advocate
182, -64.444130, 40.285938, 170, male
183, -46.761341, 30.511616, 182, chief
184, -72.438148, 36.518356, 186, really
185, -71.040802, 35.863979, 188, knew
186, -63.993694, 29.088991, 186, decided
187, -62.241280, 34.844669, 180, small
188, -75.486954, 27.805317, 174, murray
189, -70.585556, 39.279121, 182, heterosexual
190, -74.040688, 36.709412, 184, know
191, -71.424171, 38.802750, 180, together
192, -68.523224, 34.089855, 172, mudflat
193, -79.006027, 26.175888, 182, months
194, -60.902718, 33.139900, 180, good
195, -67.229500, 21.990124, 180, finally
196, -63.143570, 37.214207, 182, moved
197, -49.247532, 33.399883, 158, uhlman
198, -58.937233, 33.308163, 176, local
199, -45.966393, 33.243320, 130, c
200, -54.150261, 29.275728, 180, james
201, -73.345734, 21.803493, 178, asked
202, -68.555145, 36.523281, 172, drag
203, -54.381622, 32.620346, 154, broadway
204, -50.196678, 21.855360, 170, book
205, -48.282616, 33.122631, 156, stonewall
206, -48.347351, 23.153687, 174, mental
207, -66.999054, 37.063492, 168, least
208, -57.930302, 41.738972, 172, thirteen
209, -59.931038, 33.201881, 170, stories
210, -52.774460, 28.955667, 172, george
211, -52.096081, 23.616152, 156, board
212, -69.559906, 34.877415, 168, away
213, -63.266003, 36.197144, 168, set
214, -64.267792, 31.527636, 170, quickly
215, -70.054787, 36.454300, 170, thought
216, -78.299072, 26.487289, 170, died
217, -71.226578, 31.252041, 170, started
218, -55.474842, 29.876625, 168, wrote
219, -60.555122, 29.045404, 164, several
220, -57.735569, 38.088623, 164, begun
221, -64.733383, 35.407055, 160, point
222, -52.173222, 20.446123, 128, cotterill
223, -73.598297, 30.492968, 0, cers
224, -71.044449, 33.993164, 166, though
225, -74.799660, 38.770302, 0, erent
226, -66.673203, 30.827297, 162, name
227, -45.443127, 35.012791, 152, aug
228, -66.040611, 36.474167, 160, making
229, -45.928402, 34.782703, 162, jan
230, -52.523762, 22.120008, 160, school
231, -64.082802, 32.687931, 158, act
232, -61.692074, 23.404572, 160, campaign
233, -63.787788, 30.024992, 160, meeting
234, -55.003132, 33.173321, 138, dignity
235, -58.143810, 37.496883, 180, groups
236, -61.886131, 29.319702, 160, information
237, -69.325813, 35.650963, 160, often
238, -51.627132, 30.289680, 128, archbishop
239, -70.174484, 36.694996, 156, little
240, -47.014565, 37.465702, 154, project
241, -71.829636, 32.074722, 270, us
242, -72.062180, 30.661669, 154, room
243, -68.581879, 25.105366, 156, take
244, -64.071915, 28.498861, 142, ever
245, -66.063164, 38.221916, 154, important
246, -64.671013, 43.759567, 144, job
247, -73.179947, 31.013752, 144, mcgonagle
248, -50.501255, 31.573906, 134, vatican
249, -69.532265, 26.241777, 154, want
250, -73.452606, 33.454178, 154, got
251, -50.759033, 35.359165, 16, anti
252, -49.802376, 20.528183, 148, hospital
253, -79.001945, 28.524010, 138, hundred
254, -47.307053, 34.939495, 130, parade
255, -55.494007, 23.809088, 158, citizens
256, -60.338867, 36.988895, 144, downtown
257, -69.381279, 38.491184, 148, talk
258, -66.764061, 33.884514, 142, government
259, -69.544853, 31.168139, 150, saying
260, -57.897655, 35.011662, 150, national
261, -72.578163, 35.669964, 142, something
262, -75.310562, 28.795259, 144, almost
263, -65.955002, 36.125648, 150, con
264, -45.647530, 34.801014, 146, dec
265, -60.113403, 36.738159, 144, square
266, -50.086773, 33.007893, 148, david
267, -65.682594, 35.146442, 148, added
268, -70.419083, 31.019354, 142, virus
269, -69.853394, 32.731285, 142, theater
270, -50.646034, 28.951859, 146, arrived
271, -50.252300, 23.648018, 146, according
272, -77.619698, 28.070860, 144, earlier
273, -58.454021, 30.834244, 4, cer
274, -65.005867, 43.603870, 142, discrimination
275, -66.994858, 38.624069, 144, kind
276, -67.726814, 37.661079, 136, children
277, -66.976723, 37.101650, 144, within
278, -55.769444, 34.091412, 142, chapter
279, -69.848480, 36.046711, 142, sometimes
280, -55.389107, 27.017288, 142, york
281, -78.705040, 28.703329, 142, dollars
282, -57.530197, 26.885740, 142, renton
283, -60.667416, 37.602554, 142, role
284, -78.688843, 26.889271, 58, thirty
285, -50.748287, 17.242819, 138, passed
286, -78.459198, 26.587200, 134, month
287, -67.210617, 29.472637, 140, every
288, -58.184284, 25.164011, 138, st
289, -66.049355, 22.138954, 100, century
290, -57.959206, 24.971037, 138, avenue
291, -69.224373, 35.926357, 134, always
292, -50.450253, 30.749624, 140, noted
293, -65.085327, 34.041649, 140, order
294, -59.006912, 38.910515, 120, working
295, -49.769512, 34.967968, 138, communication
296, -70.125641, 32.197319, 136, took
297, -57.509892, 35.683689, 134, organization
298, -70.311729, 25.260777, 134, yet
299, -68.659561, 31.592119, 138, far
300, -60.697212, 34.263050, 122, world
301, -73.230766, 35.747440, 108, person
302, -68.460960, 28.231962, 138, turned
303, -69.634911, 21.120071, 138, put
304, -46.873348, 19.780956, 132, western
305, -67.189835, 30.385641, 136, around
306, -63.970730, 31.078520, 136, included
307, -63.233711, 29.489103, 136, held
308, -68.145050, 35.161060, 126, perhaps
309, -45.675106, 34.780514, 136, feb
310, -46.246765, 34.106033, 136, sun
311, -56.361099, 33.794800, 136, pioneer
312, -57.303669, 36.017384, 134, issue
313, -55.493519, 30.207676, 134, jim
314, -50.439857, 29.780542, 112, tielsch
315, -60.822762, 38.230335, 130, hall
316, -49.224648, 20.769379, 114, v
317, -56.047157, 16.687733, 106, estes
318, -47.557926, 34.404568, 124, week
319, -56.770432, 20.157961, 0, ce
320, -50.429821, 30.575750, 130, says
321, -58.163387, 39.080479, 128, created
322, -45.601097, 18.886078, 130, special
323, -49.656212, 28.877779, 130, report
324, -57.400692, 35.585663, 130, helped
325, -67.148819, 35.960228, 130, soon
326, -65.892448, 26.251923, 128, force
327, -66.475037, 30.973557, 128, tried
328, -71.042839, 31.417297, 116, let
329, -63.144032, 21.193518, 128, heterosexuals
330, -78.106331, 28.180943, 86, six
331, -66.378128, 34.480152, 126, use
332, -67.331383, 34.235657, 126, either
333, -66.036873, 30.475079, 124, call
334, -78.040741, 26.395811, 122, age
335, -78.460976, 28.594130, 120, thousand
336, -55.405640, 23.809834, 126, housing
337, -54.311920, 20.903734, 122, decision
338, -54.949890, 20.799931, 126, agreed
339, -63.281380, 13.539697, 124, problem
340, -60.819241, 36.882393, 70, class
341, -67.664314, 31.567362, 114, hand
342, -60.692360, 29.990866, 120, tavern
343, -72.936882, 23.672928, 124, felt
344, -63.837135, 25.994352, 120, especially
345, -78.378014, 26.108953, 126, weeks
346, -70.924530, 24.980639, 112, best
347, -64.017868, 25.454994, 116, vaudeville
348, -61.929878, 24.844604, 124, move
349, -49.049477, 30.146400, 124, notes
350, -47.729862, 34.431103, 122, progress
351, -63.741741, 38.691925, 122, argued
352, -64.355934, 38.133492, 122, find
353, -78.309380, 26.197931, 122, days
354, -55.086777, 23.643679, 122, legal
355, -50.793789, 34.159817, 122, charlie
356, -49.016834, 30.083536, 120, pages
357, -48.230328, 18.193905, 116, tacoma
358, -49.178970, 17.909166, 106, legislature
359, -67.494003, 30.087385, 98, freeman
360, -56.307758, 34.852814, 118, member
361, -61.975891, 32.173874, 118, met
362, -53.961391, 23.738155, 118, laws
363, -60.959999, 30.240374, 118, club
364, -71.692329, 22.374537, 118, happened
365, -58.464466, 19.462912, 116, sent
366, -64.376511, 38.224884, 118, particular
367, -59.235302, 38.055927, 116, politics
368, -71.763519, 3.818658, 116, rules
369, -60.025265, 35.389053, 110, power
370, -66.878746, 19.338568, 108, high
371, -56.108822, 10.889630, 108, association
372, -61.944241, 28.241222, 112, late
373, -65.189568, 30.188955, 116, along
374, -66.113739, 29.889948, 106, turn
375, -50.125366, 31.457232, 116, published
376, -57.820469, 34.460308, 114, mentioned
377, -68.620117, 36.293987, 114, able
378, -45.505829, 19.226379, 116, papers
379, -67.534225, 23.649294, 114, longer
380, -68.173782, 24.608807, 114, without
381, -48.254608, 30.535870, 106, article
382, -61.169559, 32.333866, 110, show
383, -54.473877, 27.247374, 102, president
384, -77.127411, 28.215038, 92, ten
385, -71.363190, 18.564756, 112, tell
386, -71.069382, 21.607546, 114, friends
387, -61.684757, 36.350712, 108, party
388, -68.841667, 24.196753, 114, actually
389, -63.086399, 28.024117, 112, worked
390, -60.966816, 28.929073, 76, ed
391, -73.953186, 19.728556, 0, payo
392, -70.422379, 31.442942, 108, baths
393, -68.905785, 25.230459, 112, need
394, -47.210781, 30.008940, 110, reporter
395, -71.030930, 26.190186, 112, homo
396, -67.161217, 26.727837, 112, taken
397, -59.104282, 38.287899, 106, socialist
398, -56.619942, 20.291143, 118, bishops
399, -48.768749, 17.783289, 106, senate
400, -68.831841, 22.925245, 106, everyone
401, -63.769638, 27.362255, 106, disease
402, -47.534855, 29.232721, 110, reported
403, -58.880730, 20.011755, 110, refused
404, -59.775482, 28.139084, 98, wuerl
405, -62.343887, 25.771856, 110, major
406, -70.567856, 24.093239, 106, course
407, -55.556538, 34.516270, 108, catholics
408, -72.888329, 20.666620, 84, considine
409, -48.878899, 21.245714, 108, judge
410, -69.322258, 32.697483, 108, continued
411, -51.580097, 9.510318, 104, activist
412, -68.748177, 21.253609, 102, open
413, -71.111275, 14.608459, 106, friend
414, -65.861816, 29.693014, 106, suddenly
415, -54.751232, 35.105999, 98, front
416, -48.464043, 21.331169, 106, records
417, -51.866592, 10.047245, 106, joined
418, -59.169182, 11.237896, 106, beginning
419, -66.920982, 35.597588, 106, moral
420, -58.804619, 25.515804, 98, north
421, -66.041725, 34.631645, 98, word
422, -53.109657, 20.428730, 102, across
423, -70.850777, 23.557644, 106, coming
424, -51.852718, 9.075009, 112, owners
425, -65.927773, 21.849466, 106, exile
426, -47.040276, 37.372585, 104, museum
427, -72.364098, 24.355209, 104, love
428, -52.680275, 11.843796, 104, movement
429, -61.542133, 7.533056, 78, third
430, -68.356781, 34.812977, 104, creating
431, -50.210327, 28.800453, 104, april
432, -73.123192, 19.339151, 90, miller
433, -71.693871, 28.434580, 102, door
434, -69.631348, 32.843983, 100, living
435, -62.566620, 26.683395, 102, particularly
436, -67.816551, 27.359217, 92, mother
437, -49.201088, 21.140423, 104, criminal
